source_code,source_text,target_code,target_text
pt-PT,Phone number,it,Numero di telefono
pt-PT,Question,it,Domanda
pt-PT,Submit question successfully,it,Invia la domanda con successo
pt-PT,Submit question failed,it,Invio della domanda non riuscito
pt-PT,Submit,it,Invia
pt-PT,"Taxes, discounts and <a href=""{{ link }}"">shipping</a> calculated at checkout",it,"Tasse, sconti e <a href=""{{ link }}"">spedizione</a> calcolati al momento del pagamento"
pt-PT,Tax included and shipping and discounts calculated at checkout,it,"Tasse incluse, spedizione e sconti calcolati al momento del pagamento"
pt-PT,"Tax included. <a href=""{{ link }}"">shipping</a> and discounts calculated at checkout.",it,"Tasse incluse. <a href=""{{ link }}"">spedizione</a> e sconti calcolati al momento del pagamento."
pt-PT,"Taxes, discounts and shipping calculated at checkout",it,"Tasse, sconti e spese di spedizione calcolati al momento del pagamento"
pt-PT,Save,it,Salva
pt-PT,Cancel,it,Cancellare
pt-PT,Note field is required,it,Il campo nota è obbligatorio
pt-PT,"An error occurred, please check the information and resubmit",it,"Si è verificato un errore, controlla le informazioni e invia nuovamente"
pt-PT,Product,it,Prodotto
pt-PT,Quantity,it,Quantità
pt-PT,Total,it,Totale
pt-PT,Your cart is empty,it,Il tuo carrello è vuoto
pt-PT,Your cart is currently empty. Discover exciting products on our Shop page,it,Il tuo carrello è attualmente vuoto. Scopri prodotti entusiasmanti sulla nostra pagina Shop
pt-PT,Back to shopping,it,Torniamo allo shopping
pt-PT,Your cart is empty,it,Il tuo carrello è vuoto
pt-PT,Your cart,it,Il tuo carrello
pt-PT,Continue shopping,it,Continua a fare acquisti
pt-PT,Your cart is currently empty. Discover exciting products on our Shop page,it,Il tuo carrello è attualmente vuoto. Scopri prodotti entusiasmanti sulla nostra pagina Shop
pt-PT,Have an account?,it,Hai un account?
pt-PT,"<a href=""{{ link }}"" class=""link underlined-link"">Log in</a> to check out faster.",it,"<a href=""{{ link }}"" class=""link underlined-link"">Accedi</a> per effettuare il pagamento più velocemente."
pt-PT,Decrease quantity for,it,Diminuire la quantità per
pt-PT,Increase quantity for,it,Aumenta la quantità per
pt-PT,Quantity for,it,Quantità per
pt-PT,Regular price,it,Prezzo normale
pt-PT,Sale price,it,Prezzo di vendita
pt-PT,Sale price,it,Prezzo di vendita
pt-PT,Add order note,it,Aggiungi nota sull'ordine
pt-PT,Estimated total,it,Totale stimato
pt-PT,Estimate shipping,it,Spedizione stimata
pt-PT,"Taxes, discounts and shipping calculated at checkout",it,"Tasse, sconti e spese di spedizione calcolati al momento del pagamento"
pt-PT,Remove {{ title }},it,Rimuovi {{ title }}
pt-PT,Estimate Shipping,it,Spedizione stimata
pt-PT,Country,it,Paese
pt-PT,Choose Country,it,Scegli Paese
pt-PT,Province,it,Provincia
pt-PT,Choose Province,it,Scegli Provincia
pt-PT,Enter a ZIP code,it,Inserisci un codice postale
pt-PT,Estimate,it,Stima
pt-PT,We found several shipping rates available for your address:,it,Abbiamo trovato diverse tariffe di spedizione disponibili per il tuo indirizzo:
pt-PT,There are several shipping rates for your address:,it,Esistono diverse tariffe di spedizione per il tuo indirizzo:
pt-PT,There are no shipping rates for your address.,it,Non sono previste tariffe di spedizione per il tuo indirizzo.
pt-PT,There are some errors:,it,Ci sono alcuni errori:
pt-PT,FREE,it,GRATUITO
pt-PT,Dashboard,it,Pannello di controllo
pt-PT,Address,it,Indirizzo
pt-PT,Wishlist,it,Lista dei desideri
pt-PT,Compare,it,Confrontare
pt-PT,Log out,it,Esci
pt-PT,Order history,it,Cronologia degli ordini
pt-PT,Order,it,Ordine
pt-PT,Date,it,Data
pt-PT,Payment status,it,Stato del pagamento
pt-PT,Fulfillment status,it,Stato di adempimento
pt-PT,Total,it,Totale
pt-PT,Account details,it,Dettagli del conto
pt-PT,default address,it,indirizzo predefinito
pt-PT,Cancel,it,Cancellare
pt-PT,Sign up,it,Iscrizione
pt-PT,Email,it,E-mail
pt-PT,Forgot your password?,it,Hai dimenticato la password?
pt-PT,Continue,it,Continuare
pt-PT,Continue as a guest,it,Continua come ospite
pt-PT,Password,it,Password
pt-PT,Login,it,Login
pt-PT,Sign in,it,Registrazione
pt-PT,Submit,it,Invia
pt-PT,Order {{ name }},it,Ordina {{ name }}
pt-PT,Placed on {{ date }},it,Inserito il {{ date }}
pt-PT,Order Cancelled on {{ date }},it,Ordine annullato il {{ date }}
pt-PT,Reason: {{ reason }},it,Motivo: {{ reason }}
pt-PT,Billing Address,it,Indirizzo di fatturazione
pt-PT,Payment Status,it,Stato del pagamento
pt-PT,Shipping Address,it,Indirizzo di spedizione
pt-PT,Fulfillment Status,it,Stato di adempimento
pt-PT,Discount,it,Sconto
pt-PT,Shipping,it,Spedizione
pt-PT,Tax,it,Tassare
pt-PT,Product,it,Prodotto
pt-PT,SKU,it,SKU
pt-PT,Price,it,Prezzo
pt-PT,Quantity,it,Quantità
pt-PT,Total,it,Totale
pt-PT,Refunded,it,Rimborsato
pt-PT,Fulfilled {{ date }},it,Eseguito il {{ date }}
pt-PT,Track shipment,it,Traccia la spedizione
pt-PT,Tracking link,it,Collegamento di monitoraggio
pt-PT,Carrier,it,Vettore
pt-PT,Tracking number,it,Numero di identificazione
pt-PT,Subtotal,it,Totale parziale
pt-PT,Duties,it,Doveri
pt-PT,Your address,it,Il tuo indirizzo
pt-PT,Your addresses,it,I tuoi indirizzi
pt-PT,default adderss,it,indirizzo predefinito
pt-PT,Add a new address,it,Aggiungi un nuovo indirizzo
pt-PT,Edit address,it,Modifica indirizzo
pt-PT,First name,it,Nome di battesimo
pt-PT,Last name,it,Cognome
pt-PT,Company,it,Azienda
pt-PT,Address 1,it,Indirizzo 1
pt-PT,Address 2,it,Indirizzo 2
pt-PT,City,it,Città
pt-PT,Country/region,it,Paese/regione
pt-PT,Province,it,Provincia
pt-PT,Postal/ZIP code,it,Codice postale/CAP
pt-PT,Phone,it,Telefono
pt-PT,Set as default address,it,Imposta come indirizzo predefinito
pt-PT,Add address,it,Aggiungi indirizzo
pt-PT,Update address,it,Aggiorna indirizzo
pt-PT,Cancel,it,Cancellare
pt-PT,Edit,it,Modificare
pt-PT,Delete,it,Eliminare
pt-PT,Are you sure you wish to delete this address?,it,Sei sicuro di voler eliminare questo indirizzo?
pt-PT,Error,it,Errore
pt-PT,Wrong password!,it,Password sbagliata!
pt-PT,Enter using password,it,Accedi utilizzando la password
pt-PT,Close,it,Vicino
pt-PT,Enter store using password:,it,Accedi al negozio utilizzando la password:
pt-PT,Your password,it,La tua password
pt-PT,Enter,it,Entra
pt-PT,"<span>Are you the store owner?</span> <a href=""/admin"" class=""link underlined-link"">Log in here</a>",it,"<span>Sei il proprietario del negozio?</span> <a href=""/admin"" class=""link underlined-link"">Accedi qui</a>"
pt-PT,Notify me,it,Avvisami
pt-PT,Add wishlist,it,Aggiungi lista dei desideri
pt-PT,Remove from wishlist,it,Rimuovi dalla lista dei desideri
pt-PT,Visit wishlist page,it,Visita la pagina della lista dei desideri
pt-PT,Add compare,it,Aggiungi confronta
pt-PT,Remove from compare,it,Rimuovi dal confronto
pt-PT,Visit compare page,it,Visita la pagina di confronto
pt-PT,Page not found,it,Pagina non trovata
pt-PT,Captcha,it,Captcha
pt-PT,Cart,it,Carrello
pt-PT,List collections,it,Elenca le raccolte
pt-PT,Account,it,Account
pt-PT,Active accout,it,Conto attivo
pt-PT,Address,it,Indirizzo
pt-PT,Login,it,Login
pt-PT,Order,it,Ordine
pt-PT,Register,it,Registro
pt-PT,Reset password,it,Reimposta la password
pt-PT,Gift card,it,Carta regalo
pt-PT,Metaobject,it,Metaoggetto
pt-PT,Password,it,Password
pt-PT,Policy,it,Politica
pt-PT,Search,it,Ricerca
pt-PT,Wishlist is empty,it,La lista dei desideri è vuota
pt-PT,No items in your wishlist yet. Discover exciting products on our Shop page,it,Nessun articolo nella tua lista dei desideri ancora. Scopri prodotti entusiasmanti sulla nostra pagina Shop
pt-PT,Compare is empty,it,Il confronto è vuoto
pt-PT,Quick add,it,Aggiunta rapida
pt-PT,No items in your compare yet. Discover exciting products on our Shop page,it,Nessun articolo nel tuo confronto ancora. Scopri prodotti entusiasmanti sulla nostra pagina Shop
pt-PT,View all,it,Visualizza tutto
pt-PT,Load more,it,Carica di più
pt-PT,READ MORE,it,PER SAPERNE DI PIÙ
pt-PT,Copy link,it,Copia collegamento
pt-PT,Copied,it,Copiato
pt-PT,Facebook,it,Facebook
pt-PT,Twitter,it,Twitter
pt-PT,Pinterest,it,Pinterest
pt-PT,Tumblr,it,Tumblr
pt-PT,{{ field }} is required,it,{{ field }} è obbligatorio
pt-PT,{{ field }} is invalid,it,{{ field }} non è valido
pt-PT,is required,it,è obbligatorio
pt-PT,is invalid,it,non è valido
pt-PT,"An error occurred, please check the information and resubmit.",it,"Si è verificato un errore, controlla le informazioni e invia nuovamente."
pt-PT,Thanks for contacting us. We'll get back to you as soon as possible.,it,Grazie per averci contattato. Ti risponderemo il prima possibile.
pt-PT,Subscribe failed,it,Iscrizione non riuscita
pt-PT,Subscribe successes,it,Sottoscrivi i successi
pt-PT,Your name,it,Il tuo nome
pt-PT,Your email,it,La tua email
pt-PT,Your phone,it,Il tuo telefono
pt-PT,Your message,it,Il tuo messaggio
pt-PT,Example product title,it,Titolo del prodotto di esempio
pt-PT,Add to cart,it,Aggiungi al carrello
pt-PT,Cart added!,it,Carrello aggiunto!
pt-PT,Add cart failed,it,Aggiunta del carrello non riuscita
pt-PT,Sold out,it,Esaurito
pt-PT,Save {{ price }},it,Risparmia {{ price }}
pt-PT,No products,it,Nessun prodotto
pt-PT,From {{ price }},it,A partire da {{ price }}
pt-PT,Unit price,it,Prezzo unitario
pt-PT,per,it,per
pt-PT,Unavailable,it,Non disponibile
pt-PT,{{ option_value }} - Unavailable,it,{{ option_value }} - Non disponibile
pt-PT,Zero,it,Zero
pt-PT,{{ count }} review,it,{{ count }} recensione
pt-PT,{{ count }} reviews,it,{{ count }} recensioni
pt-PT,Quantity,it,Quantità
pt-PT,Quantity Input,it,Immissione della quantità
pt-PT,SKU,it,SKU
pt-PT,In stock,it,In magazzino
pt-PT,{{ quantity }} in stock,it,{{ quantity }} in magazzino
pt-PT,Low stock,it,Scorte basse
pt-PT,Low stock: {{ quantity }} left,it,Stock in esaurimento: {{ quantity }} rimanenti
pt-PT,Out of stock,it,Esaurito
pt-PT,In stock,it,In magazzino
pt-PT,Please adjust the following:,it,Si prega di modificare quanto segue:
pt-PT,I want to send this as a gift,it,Voglio inviarlo come regalo
pt-PT,Gift card recipient form expanded,it,Modulo del destinatario della carta regalo ampliato
pt-PT,Gift card recipient form collapsed,it,Il modulo del destinatario della carta regalo è compresso
pt-PT,Recipient email,it,E-mail del destinatario
pt-PT,Recipient email (optional),it,E-mail del destinatario (facoltativo)
pt-PT,Email,it,E-mail
pt-PT,Recipient name (optional),it,Nome del destinatario (facoltativo)
pt-PT,Name,it,Nome
pt-PT,Message (optional),it,Messaggio (facoltativo)
pt-PT,Message,it,Messaggio
pt-PT,{{ max_chars }} characters max,it,{{ max_chars }} caratteri max
pt-PT,YYYY-MM-DD,it,AAAA-MM-GG
pt-PT,Send on (optional),it,Invia (facoltativo)
pt-PT,All rights reserved.,it,Tutti i diritti riservati.
pt-PT,Welcome to our store,it,Benvenuti nel nostro negozio
pt-PT,https://facebook.com/betterwithalmonds,it,https://facebook.com/betterwithalmonds
pt-PT,https://instagram.com/betterwithalmonds,it,https://instagram.com/betterwithalmonds
pt-PT,https://youtube.com/betterwithalmonds,it,https://youtube.com/betterwithalmonds
pt-PT,"<p>Utilizamos cookies para melhorar a sua experiência no nosso site. Ao continuar navegando, você concorda com o uso de cookies. <a href=""/policies/privacy-policy"" target=""_blank"" title=""Privacy Policy"">Política de privacidade.</a></p>",it,"<p>Utilizziamo i cookie per migliorare la tua esperienza sul nostro sito web. Continuando la navigazione acconsenti all'utilizzo dei cookie. <a href=""/policies/privacy-policy"" target=""_blank"" title=""Informativa sulla privacy"">Informativa sulla privacy.</a></p>"
pt-PT,30,it,30
pt-PT,Portugal,it,Portogallo
pt-PT,Winter Fairy by Sheeran,it,Fata d'inverno di Sheeran
pt-PT,"Perfect for hours of family fun, it’s a gift he’ll never forget.",it,"Perfetto per ore di divertimento in famiglia, è un regalo che non dimenticherà mai."
pt-PT,Add to cart - $28.50,it,"Aggiungi al carrello: $ 28,50"
pt-PT,Red Liquids by Huston,it,Liquidi rossi di Huston
pt-PT,Add descriptive text for your slide here.,it,Aggiungi qui il testo descrittivo per la tua diapositiva.
pt-PT,Add to cart - $12.20,it,"Aggiungi al carrello: $ 12,20"
pt-PT,Triangles by Kulpreet,it,Triangoli di Kulpreet
pt-PT,Add descriptive text for your slide here.,it,Aggiungi qui il testo descrittivo per la tua diapositiva.
pt-PT,Add to cart - $18.00,it,"Aggiungi al carrello: $ 18,00"
pt-PT,Beautiful Books At Affordable Prices & An Unforgettable Experience,it,Bellissimi libri a prezzi convenienti e un'esperienza indimenticabile
pt-PT,<p>The only place you can afford to get lost is inside a book.</p>,it,<p>L'unico posto in cui puoi permetterti di perderti è all'interno di un libro.</p>
pt-PT,"<p>A few years ago, Bainbridge set off on a road trip across America to interview bartenders, drink experts and chefs and to discover unusual and delicious alcohol-free mixed beverages.</p>",it,"<p>Qualche anno fa, Bainbridge partì per un viaggio attraverso l'America per intervistare baristi, esperti di bevande e chef e per scoprire bevande miste analcoliche insolite e deliziose.</p>"
pt-PT,<p>RECYCLED PAPERS</p>,it,<p>CARTA RICICLATA</p>
pt-PT,<p>SHIP WORLDWIDE</p>,it,<p>SPEDISCI IN TUTTO IL MONDO</p>
pt-PT,<p>ADD GIFT WRAP</p>,it,<p>AGGIUNGI CONFEZIONE REGALO</p>
pt-PT,<p>PERSONALIZED BOOKS</p>,it,<p>LIBRI PERSONALIZZATI</p>
pt-PT,Night Light,it,Luce notturna
pt-PT,"<p>Chatting and joking around outside her apartment building, they lost track of time. The next thing she knew, it was too late. Too late to get home unnoticed. Too late to avoid being told off by her parents. So she formed a plan, although you could hardly call it that, to leave everything behind—her family, her home and life as she’d known it in a housing project on the outskirts of Lyon.1</p>",it,"<p>Chiacchierando e scherzando fuori dal suo condominio, hanno perso la cognizione del tempo. La cosa successiva che capì fu che era troppo tardi. Troppo tardi per tornare a casa senza essere notato. Troppo tardi per evitare di essere rimproverata dai suoi genitori. Così ha elaborato un piano, anche se difficilmente si potrebbe chiamarlo così, di lasciarsi tutto alle spalle: la sua famiglia, la sua casa e la vita come l'aveva conosciuta in un complesso residenziale alla periferia di Lione.1</p>"
pt-PT,Add to cart - $34.30,it,"Aggiungi al carrello: $ 34,30"
pt-PT,"<p>“Why did you do all this for me?’ he asked. ‘I don’t deserve it. I’ve never done anything for you.’ ‘You have been my friend,’ replied Charlotte. ‘That in itself is a tremendous thing.”</p>",it,"<p>“Perché hai fatto tutto questo per me?”, chiese. «Non lo merito. Non ho mai fatto niente per te.» «Sei stato mio amico» rispose Charlotte. ""Questo di per sé è una cosa straordinaria.""</p>"
pt-PT,Review author,it,Autore della recensione
pt-PT,"<p>“From that time on, the world was hers for the reading. She would never be lonely again, never miss the lack of intimate friends. Books became her friends and there was one for every mood.”</p>",it,"<p>""Da quel momento in poi, il mondo fu suo da leggere. Non si sarebbe mai più sentita sola, non le sarebbe mai mancata la mancanza di amici intimi. I libri divennero suoi amici e ce n'era uno per ogni stato d'animo.""</p>"
pt-PT,Review author,it,Autore della recensione
pt-PT,"<p>“The same substance composes us — the tree overhead, the stone beneath us, the bird, the beast, the star — we are all one, all moving to the same end.”</p>",it,"<p>""La stessa sostanza ci compone: l'albero in alto, la pietra sotto di noi, l'uccello, la bestia, la stella: siamo tutti uno, tutti ci muoviamo verso la stessa fine.""</p>"
pt-PT,Review author,it,Autore della recensione
pt-PT,From The Blog,it,Dal blog
pt-PT,<p>Add a short description on your brand news</p>,it,<p>Aggiungi una breve descrizione alle novità del tuo marchio</p>
pt-PT,Signup for Our Newsletter,it,Iscriviti alla nostra newsletter
pt-PT,<p>Invite customers to join your mailing list.</p>,it,<p>Invita i clienti a iscriversi alla tua mailing list.</p>
pt-PT,"<p>Discover our <em>Summer Collection</em>, designed by Kimmy Guletta. </p>",it,"<p>Scopri la nostra <em>Collezione estiva</em>, disegnata da Kimmy Guletta. </p>"
pt-PT,SHOP NOW,it,ACQUISTA ORA
pt-PT,Independent Styles,it,Stili indipendenti
pt-PT,"<p>I did not even know that there were any better conditions to escape to, but I was more than willing to take my chances among people fashioned after my own mold rather than to remain longer among the hideous and bloodthirsty green men of Mars.</p>",it,"<p>Non sapevo nemmeno che esistessero condizioni migliori in cui fuggire, ma ero più che disposto a correre il rischio tra persone modellate secondo il mio stampo piuttosto che rimanere più a lungo tra gli orribili e sanguinari uomini verdi di Marte.</p>"
pt-PT,LEARN MORE,it,SAPERNE DI PIÙ
pt-PT,Featured Products,it,Prodotti in evidenza
pt-PT,Premium Life Products,it,Prodotti vita premium
pt-PT,"<p>I did not even know that there were any better conditions to escape to, but I was more than willing to take my chances among people.</p>",it,"<p>Non sapevo nemmeno che esistessero condizioni migliori in cui fuggire, ma ero più che disposto a correre il rischio tra la gente.</p>"
pt-PT,Latest News,it,Ultime notizie
pt-PT,<p>Get the <em>latest fashion and beauty trends news.</em></p>,it,<p>Ricevi le <em>ultime notizie sulle tendenze della moda e della bellezza.</em></p>
pt-PT,SHOP NOW,it,ACQUISTA ORA
pt-PT,<p>“Quick and easy service from North. Would recommend this company to everyone looking for a premium products at a good price.”</p>,it,"<p>“Servizio semplice e veloce dal Nord. Consiglierei questa azienda a tutti coloro che cercano prodotti premium a buon prezzo.""</p>"
pt-PT,"<p>“An exceptional theme, strong structural quality and the ability to create anything your imagination can dream of!”</p>",it,"<p>""Un tema eccezionale, una forte qualità strutturale e la capacità di creare qualsiasi cosa la tua immaginazione possa sognare!""</p>"
pt-PT,Ralph Lauren,it,Ralph Lauren
pt-PT,<p>“This is the best theme I have ever buyed with great support! They help me in a very short time every time I asked.”</p>,it,"<p>""Questo è il miglior tema che abbia mai acquistato con un grande supporto! Mi hanno aiutato in brevissimo tempo ogni volta che ho chiesto.""</p>"
pt-PT,Guess,it,Indovinare
pt-PT,Conhece,it,Sai
pt-PT,Compra,it,Acquistare
pt-PT,Conhece,it,Sai
pt-PT,Compra,it,Acquistare
pt-PT,Conhece,it,Sai
pt-PT,Compra,it,Acquistare
pt-PT,PRODUTOS,it,PRODOTTI
pt-PT,COMPRA AQUI,it,ACQUISTA QUI
pt-PT,Tudo fica melhor com amêndoas,it,Tutto è più buono con le mandorle
pt-PT,<p></p><p>A<strong> Better With</strong> é fruto da ideia de que a vida tem muito mais sabor em boa companhia. Gostamos de procurar o extraordinário no comum e de misturar o óbvio com o inesperado. Acreditamos que a magia que acontece nesses encontros é o sal e a pimenta do dia-a-dia. <br/></p>,it,<p></p><p><strong>Better With</strong> è il risultato dell'idea che la vita ha molto più sapore in buona compagnia. Ci piace cercare lo straordinario nell'ordinario e mescolare l'ovvio con l'inaspettato. Crediamo che la magia che avviene in questi incontri sia il sale e il pepe della vita quotidiana. <br/></p>
pt-PT,Sabores,it,Sapori
pt-PT,<p>Descobre aqui todos os nossos sabores e os seus ingredientes e informações nutricionais. </p>,it,"<p>Scopri tutti i nostri gusti, i loro ingredienti e le informazioni nutrizionali qui. </p>"
pt-PT,Conhece os sabores,it,Conosci i sapori
pt-PT,As nossas Boxes,it,Le nostre scatole
pt-PT,"<p>As nossas boxes Better With são a escolha perfeita para quem procura lanches saudáveis e deliciosos. Disponíveis tanto para compra única como por subscrição mensal, oferecem uma seleção variada de amêndoas premium com sabores únicos e irresistíveis.</p>",it,"<p>Le nostre scatole Better With sono la scelta perfetta per chi cerca snack sani e deliziosi. Disponibili sia per l'acquisto una tantum che per l'abbonamento mensile, offrono una vasta selezione di mandorle premium dai sapori unici e irresistibili.</p>"
pt-PT,LITTLE FÃ,it,PICCOLA Fà
pt-PT,A subscrição perfeita para começar.,it,L'abbonamento perfetto per iniziare.
pt-PT,7 Sabores de 140g     ,it,7 Gusti da 140g     
pt-PT,4 Sabores de 30g,it,4 gusti da 30g
pt-PT,Recebe Mensalmente,it,Ricevi mensilmente
pt-PT,10% Desconto,it,Sconto del 10%.
pt-PT,Cancela quando quiseres,it,Annulla quando vuoi
pt-PT,Portes Grátis em todas as subscrições,it,Spedizione gratuita su tutti gli abbonamenti
pt-PT,Subscrever,it,Iscriviti
pt-PT,ALMOND LOVER,it,AMANTE DELLE MANDORLE
pt-PT,A subscrição para os que sabem como é delicioso.,it,Un abbonamento per chi sa quanto è buono.
pt-PT, 10 Sabores de 140g,it, 10 Gusti da 140g
pt-PT,6 Sabores de 30g,it,6 gusti da 30g
pt-PT,Recebe Mensalmente ,it,Ricevi mensilmente 
pt-PT,10% Desconto,it,Sconto del 10%.
pt-PT,Recebe uma Bolsa Personalizada,it,Ricevi una borsa personalizzata
pt-PT,Cancela quando quiseres,it,Annulla quando vuoi
pt-PT,Portes Grátis em todas as subscrições,it,Spedizione gratuita su tutti gli abbonamenti
pt-PT,Subscrever,it,Iscriviti
pt-PT,CRAZY FÃ,it,CRAZY Fà
pt-PT,Para os que já estão completamente rendidos aos nossos sabores! ,it,Per chi si è già completamente arreso ai nostri sapori! 
pt-PT,15 Sabores de 140g,it,15 Gusti da 140g
pt-PT,8 Sabores de 30g,it,8 gusti da 30g
pt-PT,Recebe Mensalmente ,it,Ricevi mensilmente 
pt-PT,10% Desconto,it,Sconto del 10%.
